,Date,Study,Study Link,Journal,Tool Type,Result of Tool,Study Type,Measure of Evidence Strength,Sample (n)
0,2020-04-20,"SARS-coronavirus-2 replication in Vero E6 cells: replication kinetics, rapid adaptation and cytopathology",https://doi.org/10.1101/2020.04.20.049924,biorxiv,Genomic Analysis,Mutations or deltions occur in furin cleavage site connecting S1 and S2 spike protein regions,,,Unknown
1,2020-04-17,Distinct early IgA profile may determine severity of COVID-19 symptoms: an immunological case series,https://doi.org/10.1101/2020.04.14.20059733,medrxiv,Flow cytometry/peptide microarray,"Severe illness correlated with delayed, but broad SARS-CoV-2-specific IgA response",,,5
2,2020-03-23,Potential Factors for Prediction of Disease Severity of COVID-19 Patients,https://doi.org/10.1101/2020.03.20.20039818,medrxiv,Peripheral Blood Test,"Severe phenotype: Elevated IL6, IL10, ESR, D-D, and lowered ALB",Retrospective Cohort,,43
3,2020-03-16,A Sequence Homology and Bioinformatic Approach Can Predict Candidate Targets for Immune Responses to SARS-CoV-2,https://doi.org/10.1016/j.chom.2020.03.002,Cell Host & Microbe,Sequence homology,10 highly conserved regions between SARS-CoV and SARS-CoV-2,Prospective Cohort,,Unknown
4,2020-03-06,The potential role of IL-6 in monitoring severe case of coronavirus disease 2019,https://doi.org/10.1101/2020.03.01.20029769,medrxiv,Peripheral Blood Test,Elevated IL-6 associated with disease severity and progression,Prospective Cohort,,69
5,2020-03-02,Comparative genomic analysis revealed specific mutation pattern between human coronavirus SARS-CoV-2 and Bat-SARSr-CoV RaTG13,https://doi.org/10.1101/2020.02.27.969006,biorxiv,Comparative Genomic Analysis,High spike gene mutation similarity to Bat-SARSr-CoV RaTG13,Prospective Cohort,,21
6,2020-02-20,Candidate targets for immune responses to 2019-Novel Coronavirus (nCoV): sequence homology- and bioinformatic-based predictions,https://doi.org/10.1101/2020.02.12.946087,biorxiv,Immune Epitope Database and Analysis Resource (IEDB),B and T cell epitopes modulate immune responses,Simulation,,Unknown
7,2020-02-17,"Optimizing diagnostic strategy for novel coronavirus pneumonia, a multi-center study in Eastern China",https://doi.org/10.1101/2020.02.13.20022673,medrxiv,"Combination - chest CT, RT-PCR, multi-plex PCR",genetic drift in target pathogens (20% rate) and coinfections (55% rate),Prospective Cohort,,53
8,2020-02-14,Current Trends in Diagnostics of Viral Infections of Unknown Etiology Viruses,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7077230/,MDPI Viruses,High throughput sequencing (HTS),drug resistance and adaptation mechanisms,Prospective Cohort,,Unknown
9,2020-02-12,"The immune vulnerability landscape of the 2019 Novel Coronavirus, SARS-CoV-2",https://doi.org/10.1101/2020.02.08.939553,biorxiv,Genomic Analysis,Genetic variations similar to related coronaviruses,Case Study,,Unknown
10,2020-02-11,The Essential Facts of Wuhan Novel Coronavirus Outbreak in China and Epitope-based Vaccine Designing against COVID-19 biorxiv,https://www.biorxiv.org/content/10.1101/2020.02.05.935072v2,biorxiv,Computational Experiment,"identification of epitope changes, vaccine creation",Simulation,,4
11,2020-01-31,2019-nCoV: The Identify-Isolate-Inform (3I) Tool Applied to a Novel Emerging Coronavirus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7081861/,West J Emerg Med,2019-nCoV Tool (Algorithm),Manage suspected patients and document phenotypic presentations,Retrospective Cohort,,Unknown
